,Place_name,Latitude,Longitude,Address,Borough,Neighborhood,Category_name
0,Innervision Sonograph,40.891616,-73.84673,"4064 Bruner Ave, Bronx, NY 10466",Bronx,Edenwald,Health and Medicine
0,City Smiles Center - Frederick W Mitchell DDS,40.869834,-73.82799,"2063B Bartow Ave, Bronx, NY 10475",Bronx,Coop City,Health and Medicine
0,Bay Park Nursing Rehab,40.879583,-73.829172,"801 Co Op City Blvd, Bronx, NY 10475",Bronx,Coop City,Health and Medicine
0,Siegal-Lutzker Roberta,40.887667,-73.909179,"3640 Johnson Ave, Bronx, NY 10463",Bronx,Kingsbridge,Health and Medicine
0,Siegal-Lutzker Roberta,40.887667,-73.909179,"3640 Johnson Ave, Bronx, NY 10463",Bronx,Kingsbridge,Health and Medicine
0,"Steven Berkowitz, DDS",40.881423,-73.904127,"237 W 233rd St, Bronx, NY 10463",Bronx,Kings Bridge,Health and Medicine
0,Premier Family Dentistry,40.878799,-73.907313,"3024 Kingsbridge Ave, Bronx, NY 10463",Bronx,Kings Bridge,Health and Medicine
0,Our Lady of Mercy Dnt Clinic,40.895479,-73.860363,"4234 Bronx Blvd, Bronx, NY 10466",Bronx,Williamsbridge,Health and Medicine
0,Your Bronx Dentist,40.87802,-73.879256,"3310 Bainbridge Ave, Bronx, NY 10467",Bronx,Norwood,Health and Medicine
0,Quality Control Optics,40.892631,-73.855572,"754 E 233rd St, Bronx, NY 10466",Bronx,Williamsbridge,Health and Medicine
0,Medical Office,40.862434,-73.840551,"2460 Mickle Ave (Mace), Bronx, NY 10469",Bronx,Pelham Parkway,Health and Medicine
0,Cuomo Family Chiropractic Center,40.856519,-73.856269,"2143 Williamsbridge Rd, Bronx, NY 10461",Bronx,Allerton,Health and Medicine
0,"Rizzo, Mariano Dr - Medical Group of City Islands",40.848252,-73.786562,"340 City Island Ave, Bronx, NY 10464",Bronx,City Island,Health and Medicine
0,Mercy Midwives Women's Health Center,40.866688,-73.884923,"2847 Webster Ave, Bronx, NY 10458",Bronx,Belmont,Health and Medicine
0,Morris Heights Health Center,40.85473,-73.910348,"85 W Burnside Ave, Bronx, NY 10453",Bronx,Morris Heights,Health and Medicine
0,Essen Medical Associates,40.845846,-73.921524,"1550 Dr Martin L King Jr Blvd, New York, NY 10452",New York,Morris Heights,Health and Medicine
0,Hasan Mahfujul,40.857824,-73.901579,"108 E 183rd St, Bronx, NY 10453",Bronx,Fordham,Health and Medicine
0,Bronx Medical & Dental Plaza,40.84648,-73.885049,"817 E 180th St, Bronx, NY 10460",Bronx,East Tremont,Health and Medicine
0,Bronx Medical & Dental Plaza,40.84648,-73.885049,"817 E 180th St, Bronx, NY 10460",Bronx,East Tremont,Health and Medicine
0,Morrisania D&Tc,40.836106,-73.920149,"1225 Gerard Ave, Bronx, NY 10452",Bronx,Concourse,Health and Medicine
0,Callen Lorde Community Health Center,40.8221,-73.910609,"3144 3rd Ave, Bronx, NY 10451",Bronx,Melrose,Health and Medicine
0,CityMD Mott Haven Urgent Care - Bronx,40.806869,-73.916901,"571 E 138th St, Bronx, NY 10454",Bronx,Mill Brook Houses,Health and Medicine
0,CityMD Mott Haven Urgent Care - Bronx,40.806869,-73.916901,"571 E 138th St, Bronx, NY 10454",Bronx,Mill Brook Houses,Health and Medicine
0,Callen Lorde Community Health Center,40.8221,-73.910609,"3144 3rd Ave, Bronx, NY 10451",Bronx,Melrose,Health and Medicine
0,Lens Lab Express,40.821202,-73.891329,"940 Southern Blvd, Bronx, NY 10459",Bronx,East Morrisania,Health and Medicine
0,Callen Lorde Community Health Center,40.8221,-73.910609,"3144 3rd Ave, Bronx, NY 10451",Bronx,Melrose,Health and Medicine
0,Community Chiropractic of Throggs Neck,40.817854,-73.816156,"4191 E Tremont Ave, Bronx, NY 10465",Bronx,Silver Beach,Health and Medicine
0,OLA Wellness,40.845529,-73.827819,"1634 Mahan Ave, Bronx, NY 10461",Bronx,Unionport,Health and Medicine
0,Take Care Pharmacy,40.836046,-73.853923,"2134 Starling Ave, Bronx, NY 10462",Bronx,Parkchester,Health and Medicine
0,Affinity Health,40.837864,-73.841546,"1379 Commerce Ave, Bronx, NY 10461",Bronx,Unionport,Health and Medicine
0,Rain-Personnel,40.846265,-73.862153,"811 Morris Park Ave, Bronx, NY 10462",Bronx,Van Nest,Health and Medicine
0,Medina Emma MD,40.851057,-73.850206,"1165 Morris Park Ave, Bronx, NY 10461",Bronx,Pelham Parkway,Health and Medicine
0,Medalliance Medical Health Services,40.858341,-73.883869,"625 E Fordham Rd (Arthur Ave), Bronx, NY 10458",Bronx,Belmont,Health and Medicine
0,Schervier Nursing Care Center,40.881652,-73.918019,"2975 Independence Ave, Bronx, NY 10463",Bronx,Marble Hill,Health and Medicine
0,The Hebrew Home For The Aged At Riverdale,40.909988,-73.909274,"5901 Palisade Ave (at Ny Orphan Aym Rd), Bronx, NY 10471",Bronx,Fildston,Health and Medicine
0,Physicians Medical Rehabilitation Associates,40.852191,-73.829195,"3225 Westchester Ave, Bronx, NY 10461",Bronx,Hillside,Health and Medicine
0,Throggs Neck Optical,40.82634,-73.822144,"3730 E Tremont Ave, Bronx, NY 10465",Bronx,Schuvilerville,Health and Medicine
